TICKER	DATES	TIMES	STK_LAST
TDN	2012/09/11	12:00:00	118000
TDW	2012/09/11	12:00:00	135000
TET	2012/09/11	12:00:00	0
TH1	2012/09/11	12:00:00	255000
THB	2012/09/11	12:00:00	108000
THG	2012/09/11	12:00:00	83000
THT	2012/09/11	12:00:00	110000
THV	2012/09/11	12:00:00	12000
TIC	2012/09/11	12:00:00	100000
TIE	2012/09/11	12:00:00	86000
TIG	2012/09/11	12:00:00	22000
TIX	2012/09/11	12:00:00	182000
TJC	2012/09/11	12:00:00	26000
TKC	2012/09/11	12:00:00	43000
TKU	2012/09/11	12:00:00	0
TLC	2012/09/11	12:00:00	20000
TLG	2012/09/11	12:00:00	200000
TLH	2012/09/11	12:00:00	49000
TLT	2012/09/11	12:00:00	22000
TMC	2012/09/11	12:00:00	110000
TMP	2012/09/11	12:00:00	0
TMS	2012/09/11	12:00:00	245000
TMT	2012/09/11	12:00:00	0
TMX	2012/09/11	12:00:00	57000
TNA	2012/09/11	12:00:00	160000
TNC	2012/09/11	12:00:00	156000
TNG	2012/09/11	12:00:00	68000
TNT	2012/09/11	12:00:00	28000
TPC	2012/09/11	12:00:00	96000
TPH	2012/09/11	12:00:00	0
TPP	2012/09/11	12:00:00	89000
TRA	2012/09/11	12:00:00	835000
TRC	2012/09/11	12:00:00	0
TS4	2012/09/11	12:00:00	88000
TSB	2012/09/11	12:00:00	0
TSC	2012/09/11	12:00:00	60000
TSM	2012/09/11	12:00:00	0
TST	2012/09/11	12:00:00	43000
TTC	2012/09/11	12:00:00	40000
TTF	2012/09/11	12:00:00	46000
TTP	2012/09/11	12:00:00	250000
TV1	2012/09/11	12:00:00	75000
TV2	2012/09/11	12:00:00	0
TV3	2012/09/11	12:00:00	0
TV4	2012/09/11	12:00:00	74000
TVD	2012/09/11	12:00:00	82000
TXM	2012/09/11	12:00:00	30000
TYA	2012/09/11	12:00:00	37000
UDC	2012/09/11	12:00:00	44000
UIC	2012/09/11	12:00:00	95000
UNI	2012/09/11	12:00:00	71000
V12	2012/09/11	12:00:00	57000
V15	2012/09/11	12:00:00	27000
V21	2012/09/11	12:00:00	69000
VAT	2012/09/11	12:00:00	71000
VBC	2012/09/11	12:00:00	0
VBH	2012/09/11	12:00:00	145000
VC1	2012/09/11	12:00:00	0
VC2	2012/09/11	12:00:00	0
VC3	2012/09/11	12:00:00	0
VC5	2012/09/11	12:00:00	59000
