STK_CODE	STK_NAME	 STK_SHARES_IDX 	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	 STK_MCAP_IDX 	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	 NXT_SHARES_IDX 	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST	NXT_CAP	NXT_DATE	IDEX
PVF	PVN Finance	 600,000,000 	100	100	11100.000	VND	1	1.00	11100.000	 6,660,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	14.76%	  					0	 6,660,000,000,000 	2012/03/15	PVNASPR
PVG	PVN Northern Gas	 27,719,850 	100	100	11700.000	VND	1	1.00	11700.000	 324,322,245,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.72%	  					0	 324,322,245,000 	2012/03/15	PVNASPR
PVI	PVN Insurance	 205,837,952 	100	100	17800.000	VND	1	1.00	17800.000	 3,663,915,545,600 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	8.12%	  					0	 3,663,915,545,600 	2012/03/15	PVNASPR
PVR	PVN Premier Recreation	 51,906,713 	100	100	6200.000	VND	1	1.00	6200.000	 321,821,620,600 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.71%	  					0	 321,821,620,600 	2012/03/15	PVNASPR
PVS	PVN Technical Services	 298,998,663 	100	100	14500.000	VND	1	1.00	14500.000	 4,335,480,613,500 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	9.61%	  					0	 4,335,480,613,500 	2012/03/15	PVNASPR
PVT	PVN Transportation	 232,600,000 	100	100	4100.000	VND	1	1.00	4100.000	 953,660,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	2.11%	  					0	 953,660,000,000 	2012/03/15	PVNASPR
PVX	PVN Construction	 250,000,000 	100	100	9100.000	VND	1	1.00	9100.000	 2,275,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	5.04%	  					0	 2,275,000,000,000 	2012/03/15	PVNASPR
PXI	Petroleum Industrial and Civil Construction	 30,000,000 	100	100	5200.000	VND	1	1.00	5200.000	 156,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.35%	  					0	 156,000,000,000 	2012/03/15	PVNASPR
PXM	Mientrung Petroleum Construction	 15,000,000 	100	100	5400.000	VND	1	1.00	5400.000	 81,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.18%	  					0	 81,000,000,000 	2012/03/15	PVNASPR
PXS	Petroleum Equipment Assembly and Metal Structure	 37,518,001 	100	100	8900.000	VND	1	1.00	8900.000	 333,910,208,900 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.74%	  					0	 333,910,208,900 	2012/03/15	PVNASPR
PXT	Petroleum Pipeline and Tank Construction	 20,000,000 	100	100	5300.000	VND	1	1.00	5300.000	 106,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.23%	  					0	 106,000,000,000 	2012/03/15	PVNASPR
CNG	CNG Vietnam Joint Stock Company 	 20,312,038 	100	100	27900.000	VND	1	1.00	27900.000	 566,705,860,200 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	1.26%	 21,327,638 	100	100	27900		1	 595,041,100,200 	2012/03/15	PVNASPR
PSB	Sao Mai - Ben Dinh Petroleum Investment Joint Stock Company (PVSB)	 50,000,000 	100	100	3900.000	VND	1	1.00	3900.000	 195,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNASPRVND	0.43%	  					0	 195,000,000,000 	2012/03/15	PVNASPR
DPM	PVN Fertilizer and Chemicals	 377,644,200 	100	100	29000.000	VND	1	1.00	29000.000	 10,951,681,800,000 	2012/03/14	0:00:00		  	  	VND	PVNBMPRVND	100.00%	  					0	 10,951,681,800,000 	2012/03/15	PVNBMPR
PET	PVN General Services	 69,053,120 	100	100	13100.000	VND	1	1.00	13100.000	 904,595,872,000 	2012/03/14	0:00:00		  	  	VND	PVNCSPRVND	100.00%	  					0	 904,595,872,000 	2012/03/15	PVNCSPR
PFL	Petro Dong Do Joint Stock Company	 50,000,000 	100	100	4200.000	VND	1	1.00	4200.000	 210,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNFIPRVND	1.81%	  					0	 210,000,000,000 	2012/03/15	PVNFIPR
PSI	PVN Securities Incorporated	 59,841,300 	100	100	4700.000	VND	1	1.00	4700.000	 281,254,110,000 	2012/03/14	0:00:00		  	  	VND	PVNFIPRVND	2.42%	  					0	 281,254,110,000 	2012/03/15	PVNFIPR
PTL	Petro Capital and Infrastructure Investment	 98,865,080 	100	100	4700.000	VND	1	1.00	4700.000	 464,665,876,000 	2012/03/14	0:00:00		  	  	VND	PVNFIPRVND	4.01%	  					0	 464,665,876,000 	2012/03/15	PVNFIPR
PVF	PVN Finance	 600,000,000 	100	100	11100.000	VND	1	1.00	11100.000	 6,660,000,000,000 	2012/03/14	0:00:00		  	  	VND	PVNFIPRVND	57.41%	  					0	 6,660,000,000,000 	2012/03/15	PVNFIPR
