ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
DIH	20121109	9800	10400	9200	10000	10000	10000	10000	10000	2000	20000000	29058420000
DL1	20121109	9200	9800	8600	0	0	0	0	9200	0	0	22852211200
DLR	20121109	9700	10300	9100	10200	10300	10300	10200	10300	500	5130000	46350000000
DNC	20121109	9700	10300	9100	0	0	0	0	9700	0	0	21337060900
DNM	20121109	11100	11800	10400	0	0	0	0	11100	0	0	26767761000
DNP	20121109	14600	15600	13600	0	0	0	0	14600	0	0	49860854200
DNY	20121109	5900	6300	5500	5900	6000	6000	5900	5900	1600	9450000	118000000000
DPC	20121109	13400	14300	12500	12500	12500	12500	12500	12500	100	1250000	27966000000
DST	20121109	3000	3200	2800	0	0	0	0	3000	0	0	3000000000
DTC	20121109	4800	5100	4500	0	0	0	0	4800	0	0	19200000000
DXP	20121109	28000	29900	26100	28200	28500	28900	28200	28500	12400	354370000	224436702000
DZM	20121109	4500	4800	4200	4500	4800	4800	4300	4800	11500	54620000	25900728000
EBS	20121109	7200	7700	6700	7200	7300	7300	7100	7300	67700	487080000	68527173200
ECI	20121109	10000	10700	9300	0	0	0	0	10000	0	0	17600000000
EFI	20121109	5300	5600	5000	5300	5500	5500	5200	5500	15000	80400000	59081000000
EID	20121109	8100	8600	7600	8000	8100	8100	8000	8100	1000	8050000	118005660000
FDT	20121109	21100	22500	19700	0	0	0	0	21100	0	0	64449950000
FLC	20121109	6000	6400	5600	6100	6100	6100	5800	6000	700200	4166920000	463080000000
GBS	20121109	11200	11900	10500	0	0	0	0	11200	0	0	151200000000
GFC	20121109	8400	8900	7900	0	0	0	0	8400	0	0	71232000000
GGG	20121109	1300	1400	1200	1200	1200	1200	1200	1200	5800	6960000	11012605200
GLT	20121109	10300	11000	9600	0	0	0	0	10300	0	0	94531298800
GMX	20121109	12500	13300	11700	13300	13300	13300	13300	13300	100	1330000	70682158400
HAD	20121109	26400	28200	24600	26600	26600	26600	26600	26600	2000	53200000	106400000000
HAT	20121109	18600	19900	17300	19800	19800	19800	19800	19800	600	11880000	61835400000
HBD	20121109	10300	11000	9600	0	0	0	0	10300	0	0	14711490000
HBE	20121109	5400	5700	5100	0	0	0	0	5400	0	0	12047713200
HBS	20121109	6800	7200	6400	6900	6900	6900	6900	6900	1000	6900000	227699862000
HCC	20121109	12100	12900	11300	12100	11900	12100	11900	12000	3500	42230000	44045796000
HCT	20121109	5300	5600	5000	5600	5500	5600	5200	5500	5200	27320000	11090117500
HDA	20121109	7900	8400	7400	0	0	0	0	7900	0	0	17380000000
HDO	20121109	5700	6000	5400	5700	6000	6000	5700	5900	77100	448080000	54987286100
HEV	20121109	10100	10800	9400	0	0	0	0	10100	0	0	10100000000
HGM	20121109	93500	100000	87000	0	0	0	0	93500	0	0	589050000000
HHC	20121109	16100	17200	15000	17200	17200	17200	17200	17200	100	1720000	141255000000
HHG	20121109	2100	2200	2000	2000	2200	2200	2000	2200	10100	22200000	27758720000
HHL	20121109	1800	1900	1700	0	0	0	0	1800	0	0	4946886000
HJS	20121109	6700	7100	6300	6700	6800	6800	6600	6800	10000	66920000	101999925200
HLC	20121109	11400	12100	10700	0	0	0	0	11400	0	0	136294695000
HLY	20121109	8700	9300	8100	0	0	0	0	8700	0	0	8699173500
HMH	20121109	13300	14200	12400	0	0	0	0	13300	0	0	94993866800
HNM	20121109	4300	4600	4000	4500	4600	4600	4500	4600	14300	65730000	57500000000
HOM	20121109	5200	5500	4900	5000	5200	5200	5000	5200	2100	10620000	359988720000
HPB	20121109	9100	9700	8500	9100	9100	9100	9100	9100	1000	9100000	33280520000
HPC	20121109	3200	3400	3000	3100	3200	3200	3100	3200	87400	275310000	127019392000
HPR	20121109	10500	11200	9800	0	0	0	0	10500	0	0	50400000000
HPS	20121109	7000	7400	6600	0	0	0	0	7000	0	0	10956750000
HST	20121109	4600	4900	4300	0	0	0	0	4600	0	0	6846824000
