CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS
KSB	CTCP Khoáng sản và Xây dựng Bình Dương	Binh Duong Mineral And Construction Jsc. 	HSX	Basic Materials	2009/12/17	18000000	2010/01/20	
KSC	Muối Khánh Hòa	Khanh Hoa Salt Jsc	UPC	Consumer Goods	2010/05/28	3739823	2010/05/28	
KSD	Tổng CTCP Xuất nhập khẩu Đông Nam Á HAMICO	South East Asia Hamico Export Jsc	HNX	Consumer Goods	2010/04/28	12000000	2010/04/28	
KSH	CTCP Tập đoàn Khoáng sản Hamico	Hamico Group Mineral Jsc	HSX	Basic Materials	2008/11/03	11690000	2008/11/12	
KSS	Tổng CTCP khoáng sản Na Rì Hamico	Nari Hamico Minerals Jsc	HSX	Basic Materials	2009/12/25	24190000	2010/01/04	
KST	CTCP KASATI	Kasati Jsc	HNX	Technology	2010/09/30	2996010	2010/12/29	
KTB	CTCP Đầu tư Khoáng sản Tây Bắc	Tay Bac Minerals Investment Jsc	HSX	Basic Materials	2010/09/24	26800000	2010/10/01	
KTS	CTCP Đường Kon Tum	Kon Tum Sugar Jsc 	HNX	Consumer Goods	2010/12/31	3900000	2010/12/31	
KTT	CTCP Đầu tư Thiết bị và Xây lắp Điện Thiên Trường	Thien Truong Power Equipment Investment And Construction Jsc	HNX	Industrials	2010/10/28	2875000	2010/10/28	
L10	CTCP Lilama 10	Lilama 10 Jsc	HSX	Industrials	2007/12/11	9000000	2007/12/25	
L14	CTCP Licogi 14	Licogi 14 Jsc	HNX	Industrials	2011/09/13	2880000	2011/09/13	
L18	CTCP Đầu tư và Xây dựng số 18	Investment And Construction Jsc No.18	HNX	Industrials	2008/04/23	5400000	2008/04/23	
L35	CTCP CƠ KHÍ LẮP MÁY LILAMA	Lilama Erection Mechanical Jsc	HNX	Industrials	2010/03/25	3265155	2010/03/25	
L43	CTCP Lilama 45.3	Lilama 45.3 Jsc	HNX	Industrials	2008/06/11	3500000	2008/06/11	
L44	CTCP Lilama 45.4	Lilama 45.4 Jsc	HNX	Industrials	2009/12/21	4000000	2009/12/21	
L61	CTCP Lilama 69.1	Lilama 69-1 Jsc	HNX	Industrials	2008/11/19	7015000	2008/11/19	
L62	CTCP Lilama 69.2	Lilama 69-2 Jsc	HNX	Industrials	2008/04/21	5741817	2008/04/21	
LAF	CTCP Chế biến Hàng xuất khẩu Long An	Long An Food Processing Export Jsc	HSX	Consumer Goods	2000/12/11	14728019	2000/12/15	
LAS	CTCP Supe Phốt phát và Hóa chất Lâm Thao	Lam Thao Fertilizers And Chemicals JSC	HNX	Basic Materials	2012/03/01	64860000	2012/03/01	
LBE	CTCP Sách và Thiết bị Trường học Long An	Long An Book And Educational Equipment Jsc	HNX	Consumer Services	2008/02/22	1100000	2008/02/22	
LBM	CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng	Lam Dong Mineral And Building Material Jsc	HSX	Industrials	2006/11/30	8500000	2006/12/20	
LCC	Xi măng Lạng Sơn	Lang Son Cement Jsc	UPC	Industrials	2010/05/06	5838999	2010/05/06	
LCD	CTCP Lilama Thí nghiệm Cơ điện	Lilama - Electromechanics Testing Jsc	HNX	Industrials	2010/11/15	1350000	2010/11/15	
LCG	CTCP LICOGI 16	Licogi 16 Jsc	HSX	Industrials	2008/10/17	56249956	2008/11/18	
LCM	CTCP Khai thác và Chế biến Khoáng sản Lào Cai	Lao Cai Mineral Exploitation & Processing Jsc	HSX	Basic Materials	2011/09/08	8568000	2011/09/16	
LCS	CTCP LICOGI 16.6	Licogi 16.6 Jsc	HNX	Industrials	2010/07/06	6000000	2010/07/06	
LDP	CTCP Dược Lâm Đồng – Ladophar	Lamdong Pharmaceutical Jsc	HNX	Health Care	2010/07/20	3399959	2010/07/20	
LGC	CTCP Cơ khí - Điện Lữ Gia	Lu Gia Mechanical Electric Jsc	HSX	Industrials	2006/11/29	8283561	2006/12/27	
LGL	CTCP Đầu tư và Phát triển Đô thị Long Giang	Long Giang Investment And Urban Development Jsc	HSX	Financials	2009/09/23	19999275	2009/10/08	
LHC	CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng	Lam Dong Investment Hydraulic Construction Joint Stock	HNX	Industrials	2010/01/13	2000000	2010/01/13	
LHG	CTCP Long Hậu	Long Hau Corporation. 	HSX	Financials	2010/03/15	26082627	2010/03/23	
LIG	CTCP LICOGI 13	Licogi 13 Jsc	HNX	Industrials	2010/04/22	12000000	2010/04/22	
LIX	CTCP Bột giặt LIX	Lix Detergent Jsc	HSX	Consumer Goods	2009/12/01	10800000	2009/12/10	
LM3	Công ty cổ phần Lilama 3	Lilama3 Jsc	HNX	Industrials	2009/12/01	5150000	2009/12/01	
LM7	CTCP Lilama 7	Lilama 7 Jsc	HNX	Industrials	2010/10/28	5000000	2010/10/28	
LM8	CTCP Lilama 18	Lilama 18 Jsc 	HSX	Industrials	2010/11/05	8050000	2010/11/15	
LO5	CTCP Lilama 5	Lilama 5 Jsc	HNX	Industrials	2009/12/21	5000000	2009/12/21	
LSS	CTCP Mía đường Lam Sơn	Lam Son Sugar JCC	HSX	Consumer Goods	2007/12/21	50000000	2008/01/09	
LTC	CTCP Điện nhẹ Viễn Thông	Low Current - Telecom Jsc	HNX	Technology	2006/12/14	4586000	2006/12/14	
LUT	CTCP Đầu tư Xây dựng Lương Tài	Luong Tai Construction Jsc	HNX	Industrials	2008/01/04	15000000	2008/01/04	
MAC	CTCP Cung ứng và Dịch vụ kỹ thuật Hàng hải	Marine Supply And Engineering Service Jsc	HNX	Industrials	2009/12/24	5499811	2009/12/24	
MAS	Sân bay Đà Nẵng	Middle Airports Services Jsc	UPC	Consumer Services	2009/09/09	2008816	2009/09/09	
MAX	CTCP KHAI KHOÁNG VÀ CƠ KHÍ HỮU NGHỊ VĨNH SINH	Huu Nghi Vinh Sinh Mining & Mecanic	HNX	Basic Materials	2011/09/15	7200000	2011/09/15	
MBB	Ngân hàng Thương mại Cổ phần Quân Đội	Military Commercial Joint Stock Bank	HSX	Banks	2011/10/18	1000000000	2011/11/01	
MCC	CTCP gạch ngói cao cấp	High – Grade Brick - Tile Co-Operation	HNX	Industrials	2010/04/26	4668300	2010/04/26	
MCF	CTCP Xây lắp Cơ khí Lương thực Thực phẩm	Mechanics Contruction & Foodstuff Jsc	HNX	Consumer Goods	2011/02/14	8000000	2011/02/14	
MCG	CTCP Cơ điện và Xây dựng Việt Nam	Vietnam Mechanization Electrification & Construction Jsc	HSX	Industrials	2009/09/16	57510000	2009/09/24	
MCL	CTCP Phát triển nhà và Sản xuất vật liệu xây dựng Chí Linh	Chi Linh Building Materials And House Development Jsc	HNX	Industrials	2010/12/13	2220000	2010/12/13	
