STK_CODE	DATE	CLOSE	ADCLOSE
PVS	2010/01/13	32300.00	
PVS	2010/01/12	31300.00	
PVS	2010/01/11	33000.00	
PVS	2010/01/08	33400.00	
PVS	2010/01/07	33400.00	
PVS	2010/01/06	33500.00	
PVS	2010/01/05	34700.00	
PVS	2010/01/04	34100.00	
PVS	2009/12/31	31600.00	
PVS	2009/12/30	32100.00	
PVS	2009/12/29	31100.00	
PVS	2009/12/28	32300.00	
PVS	2009/12/25	33600.00	
PVS	2009/12/24	33200.00	
PVS	2009/12/23	32600.00	
PVS	2009/12/22	32400.00	
PVS	2009/12/21	33200.00	
PVS	2009/12/18	31200.00	
PVS	2009/12/17	30100.00	
PVS	2009/12/16	29000.00	
PVS	2009/12/15	30300.00	
PVS	2009/12/14	31600.00	
PVS	2009/12/11	30000.00	
PVS	2009/12/10	32000.00	
PVS	2009/12/09	32200.00	
PVS	2009/12/08	33800.00	
PVS	2009/12/07	33900.00	
PVS	2009/12/04	34200.00	
PVS	2009/12/03	33700.00	
PVS	2009/12/02	33700.00	
PVS	2009/12/01	35900.00	
PVS	2009/11/30	34300.00	
PVS	2009/11/27	33000.00	
PVS	2009/11/26	32800.00	
PVS	2009/11/25	34600.00	
PVS	2009/11/24	36700.00	
PVS	2009/11/23	37000.00	
PVS	2009/11/20	39300.00	
PVS	2009/11/19	37300.00	
PVS	2009/11/18	36900.00	
PVS	2009/11/17	36700.00	
PVS	2009/11/16	36600.00	
PVS	2009/11/13	37200.00	
PVS	2009/11/12	37000.00	
PVS	2009/11/11	37500.00	
PVS	2009/11/10	35900.00	
PVS	2009/11/09	36400.00	
PVS	2009/11/06	37000.00	
PVS	2009/11/05	38000.00	
PVS	2009/11/04	36600.00	
PVS	2009/11/03	36600.00	
PVS	2009/11/02	37100.00	
PVS	2009/10/30	39100.00	
PVS	2009/10/29	38800.00	
PVS	2009/10/28	40500.00	
PVS	2009/10/27	40000.00	
PVS	2009/10/26	41300.00	
PVS	2009/10/23	42000.00	
PVS	2009/10/22	44200.00	
PVS	2009/10/21	45100.00	
PVS	2009/10/20	45100.00	
PVS	2009/10/19	44000.00	
PVS	2009/10/16	41900.00	
PVS	2009/10/15	43200.00	
PVS	2009/10/14	41800.00	
PVS	2009/10/13	40100.00	
PVS	2009/10/12	41100.00	
PVS	2009/10/09	40300.00	
PVS	2009/10/08	39500.00	
PVS	2009/10/07	38800.00	
PVS	2009/10/06	38200.00	
PVS	2009/10/05	38000.00	
PVS	2009/10/02	38600.00	
PVS	2009/10/01	39700.00	
PVS	2009/09/30	40200.00	
PVS	2009/09/29	40400.00	
PVS	2009/09/28	40100.00	
PVS	2009/09/25	39900.00	
PVS	2009/09/24	40000.00	
PVS	2009/09/23	40600.00	
PVS	2009/09/22	40100.00	
PVS	2009/09/21	40500.00	
PVS	2009/09/18	41000.00	
PVS	2009/09/17	40300.00	
PVS	2009/09/16	39800.00	
PVS	2009/09/15	39900.00	
PVS	2009/09/14	40600.00	
PVS	2009/09/11	41100.00	
PVS	2009/09/10	40900.00	
PVS	2009/09/09	40800.00	
PVS	2009/09/08	41700.00	
PVS	2009/09/07	41900.00	
PVS	2009/09/04	42100.00	
PVS	2009/09/03	39500.00	
PVS	2009/09/01	40400.00	
PVS	2009/08/31	40400.00	
PVS	2009/08/28	39600.00	
PVS	2009/08/27	39400.00	
PVS	2009/08/26	39400.00	
PVS	2009/08/25	39000.00	
PVS	2009/08/24	39800.00	
PVS	2009/08/21	39200.00	
PVS	2009/08/20	39600.00	
PVS	2009/08/19	39400.00	
PVS	2009/08/18	38600.00	
PVS	2009/08/17	38400.00	
PVS	2009/08/14	39500.00	
PVS	2009/08/13	40200.00	
PVS	2009/08/12	39400.00	
PVS	2009/08/11	38100.00	
PVS	2009/08/10	38200.00	
PVS	2009/08/07	37400.00	
PVS	2009/08/06	37800.00	
PVS	2009/08/05	38100.00	
PVS	2009/08/04	38000.00	
PVS	2009/08/03	37000.00	
PVS	2009/07/31	37200.00	
PVS	2009/07/30	35900.00	
PVS	2009/07/29	36500.00	
PVS	2009/07/28	36900.00	
PVS	2009/07/27	39000.00	
PVS	2009/07/24	37600.00	
PVS	2009/07/23	36100.00	
PVS	2009/07/22	34600.00	
PVS	2009/07/21	34800.00	
PVS	2009/07/20	34200.00	
PVS	2009/07/17	35000.00	
PVS	2009/07/16	35900.00	
PVS	2009/07/15	34800.00	
PVS	2009/07/14	34100.00	
PVS	2009/07/13	33800.00	
PVS	2009/07/10	34500.00	
PVS	2009/07/09	34800.00	
PVS	2009/07/08	34800.00	
PVS	2009/07/07	35300.00	
PVS	2009/07/06	35300.00	
PVS	2009/07/03	33900.00	
PVS	2009/07/02	33400.00	
PVS	2009/07/01	32800.00	
PVS	2009/06/30	33900.00	
PVS	2009/06/29	35600.00	
PVS	2009/06/26	36400.00	
PVS	2009/06/25	36000.00	
PVS	2009/06/24	37700.00	
PVS	2009/06/23	35300.00	
PVS	2009/06/22	37800.00	
PVS	2009/06/19	39600.00	
PVS	2009/06/18	38600.00	
PVS	2009/06/17	40000.00	
PVS	2009/06/16	37500.00	
PVS	2009/06/15	40300.00	
PVS	2009/06/12	42400.00	
PVS	2009/06/11	43000.00	
PVS	2009/06/10	42900.00	
PVS	2009/06/09	45000.00	
PVS	2009/06/08	46000.00	
PVS	2009/06/05	43000.00	
PVS	2009/06/04	40600.00	
PVS	2009/06/03	39900.00	
PVS	2009/06/02	40000.00	
PVS	2009/06/01	37700.00	
PVS	2009/05/29	36000.00	
PVS	2009/05/28	35000.00	
PVS	2009/05/27	36600.00	
PVS	2009/05/26	37000.00	
PVS	2009/05/25	36700.00	
PVS	2009/05/21	35800.00	
PVS	2009/05/20	36900.00	
PVS	2009/05/19	37200.00	
PVS	2009/05/18	34400.00	
PVS	2009/05/15	33500.00	
PVS	2009/05/14	32200.00	
PVS	2009/05/13	32000.00	
PVS	2009/05/12	32400.00	
PVS	2009/05/11	31900.00	
PVS	2009/05/08	32400.00	
PVS	2009/05/07	33000.00	
PVS	2009/05/06	31100.00	
PVS	2009/05/05	32600.00	
PVS	2009/05/04	31000.00	
PVS	2009/04/29	29500.00	
PVS	2009/04/28	28100.00	
PVS	2009/04/27	28100.00	
PVS	2009/04/24	28600.00	
PVS	2009/04/23	29400.00	
PVS	2009/04/22	28800.00	
PVS	2009/04/21	28000.00	
PVS	2009/04/20	28300.00	
PVS	2009/04/17	30100.00	
PVS	2009/04/16	32000.00	
PVS	2009/04/15	33400.00	
PVS	2009/04/14	35700.00	
PVS	2009/04/13	34700.00	
PVS	2009/04/10	32500.00	
PVS	2009/04/09	30200.00	
PVS	2009/04/08	29600.00	
PVS	2009/04/07	32600.00	
PVS	2009/04/03	30600.00	
PVS	2009/04/02	28500.00	
PVS	2009/04/01	28000.00	
PVS	2009/03/31	27000.00	
PVS	2009/03/30	26400.00	
PVS	2009/03/27	27200.00	
PVS	2009/03/26	27500.00	
PVS	2009/03/25	27400.00	
PVS	2009/03/24	27200.00	
PVS	2009/03/23	25400.00	
PVS	2009/03/20	26300.00	
PVS	2009/03/19	26700.00	
PVS	2009/03/18	27300.00	
PVS	2009/03/17	25900.00	
PVS	2009/03/16	24700.00	
PVS	2009/03/13	24400.00	
PVS	2009/03/12	24200.00	
PVS	2009/03/11	25800.00	
PVS	2009/03/10	24300.00	
PVS	2009/03/09	23900.00	
PVS	2009/03/06	23800.00	
PVS	2009/03/05	24200.00	
PVS	2009/03/04	23700.00	
PVS	2009/03/03	23400.00	
PVS	2009/03/02	24200.00	
PVS	2009/02/27	24900.00	
PVS	2009/02/26	23800.00	
PVS	2009/02/25	24100.00	
PVS	2009/02/24	22600.00	
PVS	2009/02/23	24000.00	
PVS	2009/02/20	25800.00	
PVS	2009/02/19	26000.00	
PVS	2009/02/18	26000.00	
PVS	2009/02/17	26800.00	
PVS	2009/02/16	27000.00	
PVS	2009/02/13	27300.00	
PVS	2009/02/12	27400.00	
PVS	2009/02/11	27300.00	
PVS	2009/02/10	28000.00	
PVS	2009/02/09	28900.00	
PVS	2009/02/06	27600.00	
PVS	2009/02/05	26300.00	
PVS	2009/02/04	26800.00	
PVS	2009/02/03	26800.00	
PVS	2009/02/02	27900.00	
PVS	2009/01/23	28400.00	
PVS	2009/01/22	28400.00	
PVS	2009/01/21	27700.00	
PVS	2009/01/20	28500.00	
PVS	2009/01/19	28900.00	
PVS	2009/01/16	29400.00	
PVS	2009/01/15	29400.00	
PVS	2009/01/14	29900.00	
PVS	2009/01/13	30100.00	
PVS	2009/01/12	30500.00	
PVS	2009/01/09	30600.00	
PVS	2009/01/08	30500.00	
PVS	2009/01/07	30900.00	
PVS	2009/01/06	30800.00	
PVS	2009/01/05	30200.00	
PVS	2009/01/02	30500.00	
PVS	2008/12/31	31500.00	
PVT	2011/12/09	3900.00	
PVT	2011/12/08	3900.00	
PVT	2011/12/07	4000.00	
PVT	2011/12/06	3900.00	
PVT	2011/12/05	3800.00	
PVT	2011/12/02	3700.00	
PVT	2011/12/01	3700.00	
PVT	2011/11/30	3600.00	
PVT	2011/11/29	3700.00	
PVT	2011/11/28	3700.00	
PVT	2011/11/25	3700.00	
PVT	2011/11/24	3700.00	
PVT	2011/11/23	3800.00	
PVT	2011/11/22	3700.00	
PVT	2011/11/21	3700.00	
PVT	2011/11/18	3800.00	
PVT	2011/11/17	3900.00	
PVT	2011/11/16	4000.00	
PVT	2011/11/15	3900.00	
PVT	2011/11/14	3900.00	
PVT	2011/11/11	3900.00	
PVT	2011/11/10	4000.00	
PVT	2011/11/09	4100.00	
PVT	2011/11/08	4200.00	
PVT	2011/11/07	4100.00	
PVT	2011/11/04	4100.00	
PVT	2011/11/03	4200.00	
PVT	2011/11/02	4200.00	
PVT	2011/11/01	4300.00	
PVT	2011/10/31	4400.00	
PVT	2011/10/28	4500.00	
PVT	2011/10/27	4300.00	
PVT	2011/10/26	4300.00	
PVT	2011/10/25	4200.00	
PVT	2011/10/24	4300.00	
PVT	2011/10/21	4400.00	
PVT	2011/10/20	4300.00	
PVT	2011/10/19	4300.00	
PVT	2011/10/18	4200.00	
PVT	2011/10/17	4300.00	
PVT	2011/10/14	4500.00	
PVT	2011/10/13	4400.00	
PVT	2011/10/12	4300.00	
PVT	2011/10/11	4500.00	
PVT	2011/10/10	4600.00	
PVT	2011/10/07	4600.00	
PVT	2011/10/06	4800.00	
PVT	2011/10/05	4700.00	
PVT	2011/10/04	4800.00	
PVT	2011/10/03	4900.00	
PVT	2011/09/30	5100.00	
PVT	2011/09/29	5100.00	
PVT	2011/09/28	4900.00	
PVT	2011/09/27	4700.00	
PVT	2011/09/26	4800.00	
PVT	2011/09/23	4800.00	
PVT	2011/09/22	4800.00	
PVT	2011/09/21	4600.00	
PVT	2011/09/20	4800.00	
PVT	2011/09/19	5000.00	
PVT	2011/09/16	5000.00	
PVT	2011/09/15	5200.00	
PVT	2011/09/14	5300.00	
PVT	2011/09/13	5200.00	
PVT	2011/09/12	5100.00	
PVT	2011/09/09	5000.00	
PVT	2011/09/08	4800.00	
PVT	2011/09/07	4800.00	
PVT	2011/09/06	4600.00	
PVT	2011/09/05	4800.00	
PVT	2011/09/01	4600.00	
PVT	2011/08/31	4400.00	
PVT	2011/08/30	4300.00	
PVT	2011/08/29	4200.00	
PVT	2011/08/26	4100.00	
PVT	2011/08/25	4100.00	
PVT	2011/08/24	4100.00	
PVT	2011/08/23	4100.00	
PVT	2011/08/22	4200.00	
PVT	2011/08/19	4000.00	
PVT	2011/08/18	4200.00	
PVT	2011/08/17	4100.00	
PVT	2011/08/16	4000.00	
PVT	2011/08/15	3900.00	
PVT	2011/08/12	4000.00	
PVT	2011/08/11	3900.00	
PVT	2011/08/10	4000.00	
PVT	2011/08/09	4000.00	
PVT	2011/08/08	4200.00	
PVT	2011/08/05	4300.00	
PVT	2011/08/04	4400.00	
PVT	2011/08/03	4200.00	
PVT	2011/08/02	4200.00	
PVT	2011/08/01	4400.00	
PVT	2011/07/29	4500.00	
PVT	2011/07/28	4500.00	
PVT	2011/07/27	4500.00	
PVT	2011/07/26	4600.00	
PVT	2011/07/25	4600.00	
PVT	2011/07/22	4500.00	
PVT	2011/07/21	4500.00	
PVT	2011/07/20	4700.00	
PVT	2011/07/19	4500.00	
PVT	2011/07/18	4500.00	
PVT	2011/07/15	4500.00	
PVT	2011/07/14	4600.00	
PVT	2011/07/13	4600.00	
PVT	2011/07/12	4500.00	
PVT	2011/07/11	4600.00	
PVT	2011/07/08	4600.00	
PVT	2011/07/07	4600.00	
PVT	2011/07/06	4600.00	
PVT	2011/07/05	4700.00	
PVT	2011/07/04	4500.00	
PVT	2011/07/01	4600.00	
PVT	2011/06/30	4700.00	
PVT	2011/06/29	4900.00	
PVT	2011/06/28	4900.00	
PVT	2011/06/27	5000.00	
PVT	2011/06/24	5100.00	
PVT	2011/06/23	5000.00	
PVT	2011/06/22	5000.00	
PVT	2011/06/21	5100.00	
PVT	2011/06/20	5200.00	
PVT	2011/06/17	5400.00	
PVT	2011/06/16	5600.00	
PVT	2011/06/15	5600.00	
PVT	2011/06/14	5500.00	
PVT	2011/06/13	5300.00	
PVT	2011/06/10	5100.00	
PVT	2011/06/09	4900.00	
PVT	2011/06/08	4900.00	
PVT	2011/06/07	5100.00	
PVT	2011/06/06	5000.00	
PVT	2011/06/03	5100.00	
PVT	2011/06/02	5300.00	
PVT	2011/06/01	5100.00	
