SOURCE	CODE_SRC	CODE_DWL	MARKET	LANGUAGE	INFORMATION	CODE_INFO	LOCAL	FORMAT	EXAMPLE	URL	LEVEL	LEFT	RIGHT	LEFT2	RIGHT2	PROTECT	TIME	STARTROW	DEL_BLLEF	DEL_BLRGT	DEL_FDLEFT	DEL_FDRGT	OUTPUT	STARTDATES	ENDDATES	DEL_DTLEF	DEL_DTRGT	INPUT	DELIMITOR	MULTIPAGES	LIST	BODY	META_FOLDER	PARAM	VFPGETPOST	PHPCHK	VFPCHK	DURATION
CAFEF	CAF	CAFPRHNXTW	HNX	VN	PRICES	PRICES	Giá hiện tại			http://s.cafef.vn/TraCuuLichSu2/1/HASTC/<<date_dd/mm/yyyy>>.chn		<table id="table2sort"	</table>			0	TODAY	2	<tr	</tr>	<td	</td>	PRICES					WEB				Y						
CAFEF	CAF	CAFPRUPCTW	UPC	Vn	PRICES	PRICES	Giá hiện tại			http://s.cafef.vn/TraCuuLichSu2/1/UPCOM/<<date_dd/mm/yyyy>>.chn		<table id="table2sort"	</table>			0	TODAY	2	<tr	</tr>	<td	</td>	PRICES					WEB				Y						
COPHIEU	CPH	CPH01	ALL	VN	FIRST TRADE DATE	FTRD	Ngày GD đầu tiên	DD/MM/YYYY	24/09/2009	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	Ngày GD đầu tiên</span>	</span>	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPH02	ALL	VN	IPO LISTED SHARES	IPO_SHLI	KLNY đầu tiên	###,###,###,###	9,900,000	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	KLNY đầu tiên</span>	</span>	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPH03	ALL	VN	IPO PRICE	IPO_PRICE	Giá niêm yết	###.###.###.###	130.2	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	Giá niêm yết</span>	</span>	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPH04	ALL	VN	LISTED SHARES	SHLI	Khối lượng niêm yết	###,###,###,###	9,900,000	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	Khối lượng niêm yết</span>	</span>	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPH05	ALL	VN	FUND SHARES	SHFN	Cổ Phiếu Quỹ	###,###,###,###	2,200,000	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	Cổ Phiếu Quỹ</span>	</span>	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPH06	ALL	VN	OUTSTANDING SHARES	SHOU	Khối lượng đang lưu hành 	###,###,###,###	9139864	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	Khối lượng đang lưu hành</span>	</span>	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPH07	ALL	VN	AUTHORISED FOREIGN OWNERSHIP	CAPI_FORA	Nước ngoài được phép mua	###,###,###,###	10812706	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	Nước ngoài được phép mua</span>	<br />	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPH08	ALL	VN	FOREIGN OWNERSHIP	CAPI_FORN	Nước ngoài sở hữu	###,###,###,###	5556533	http://www.cophieu68.com/profilesymbol.php?id=<<ticker>>	2	ngoài sở hữu</span>	<br />	>		0	TODAY	1					REFERENCE			 		WEB										
COPHIEU	CPH	CPHREALLTW	ALL	VN	REFERENCE	REFERENCE	Tham khảo			http://www.cophieu68.com/companylist.php?currentPage=<<page>>		right">STT</td>	</table>				TODAY	3	<tr	</tr>	<td	</td>	REFERENCE					WEB		29		Y						
COPHIEU	CPH	CPHPRHSXHW	HSX	VN	PRICES	PRICES	Giá quá khứ			http://www.cophieu68.com/stockdaily.php?stcid=1&date=<<date_dd-mm-yyyy>>	1	<table width="100%" cellpadding="4" cellspacing="0" style="background-color:#ffffff">	</table>	<tr	</tr>	0	HISTODAY	2	<tr	</tr>	<td	</td>	PRICES			DateInput('date', true, 'DD-MM-YYYY', '	CHR(39)	WEB				Y						
COPHIEU	CPH	CPHPRHNXHW	HNX	VN	PRICES	PRICES	Giá quá khứ			http://www.cophieu68.com/stockdaily.php?stcid=2&date=<<date_dd-mm-yyyy>>	1	<table width="100%" cellpadding="4" cellspacing="0" style="background-color:#ffffff">	</table>	<tr	</tr>	0	HISTODAY	2	<tr	</tr>	<td	</td>	PRICES			DateInput('date', true, 'DD-MM-YYYY', '	CHR(39)	WEB				Y						
EXCHANGE	EXC	EXC01	HSX	EN	CAPITAL	CAPITAL	Capital	###,###,###,###	113,398,640,000	http://www.hsx.vn/hsx_en/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	Capital</td><td>	</td>			0	TODAY	1					PRICES			 		WEB										
EXCHANGE	EXC	EXC02	HSX	EN	LISTING DATE	IPO	Listing Date	DD/MM/YYYY	13/07/2009	http://www.hsx.vn/hsx_en/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	Listing Date</td><td>	</td>			0	TODAY	1					REFERENCE			 		WEB										
EXCHANGE	EXC	EXC03	HSX	EN	FIRST TRADE DATE	FTRD	First Listing Date	DD/MM/YYYY	24/09/2009	http://www.hsx.vn/hsx_en/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	First Listing Date</td><td>	</td>			0	TODAY	1					REFERENCE			 		WEB										
EXCHANGE	EXC	EXC04	HSX	EN	STATE OWNERSHIP	CAPI_STAT	State-Owned	###.###.###.###	11.98	http://www.hsx.vn/hsx_en/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	State-Owned</td><td>	</td>			0	TODAY	1					REFERENCE			 		WEB										
EXCHANGE	EXC	EXC05	HSX	VN	CAPITAL	CAPITAL	Vốn điều lệ (VND)	###.###.###.###	39.951.250.000	http://www.hsx.vn/hsx/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	điều lệ (VND)</td><td>	</td>			0	TODAY	1					REFERENCE			 		WEB										
EXCHANGE	EXC	EXC06	HSX	VN	LISTING DATE	IPO	Ngày niêm yết	DD/MM/YYYY	 13/07/2009	http://www.hsx.vn/hsx/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	yết</td><td>	</td>			0	TODAY	1					REFERENCE			 		WEB										
EXCHANGE	EXC	EXC07	HSX	VN	FIRST TRADE DATE	FTRD	Ngày chính thức giao dịch	DD/MM/YYYY	24/09/2009	http://www.hsx.vn/hsx/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	thức giao dịch</td><td>	</td>			0	TODAY	1					REFERENCE			 		WEB										
EXCHANGE	EXC	EXC08	HSX	VN	STATE OWNERSHIP	CAPI_STAT	Sỡ hữu nhà nước	###,###,###,###	11,98	http://www.hsx.vn/hsx/Modules/Danhsach/SymbolDetail.aspx?type=S&MCty=<<TICKER>>	1	thức giao dịch</td><td>	</td>			0	TODAY	1					REFERENCE			 		WEB										
