ticker	market	ftrd	ftrd_shli	ftrd_cls	enddate
REE	HSX	2000/07/28	28174274	16000	
REM	UPC	2010/02/22	1148600	0	
RHC	HNX	2006/06/15	3200000	45000	
RIC	HSX	2007/07/31	8589119	174000	
S12	HNX	2008/01/16	5000000	97000	
S27	HNX	2010/09/16	1562833	19200	
S33	UPC	2010/12/29	2300000	0	
S55	HNX	2006/12/22	700000	26200	
S64	HNX	2006/12/25	700000	26000	
S74	HNX	2009/07/02	4000000	23000	
S91	HNX	2006/12/20	1500000	29000	
S96	HNX	2008/01/09	2500000	70000	
S99	HNX	2006/12/22	500000	29400	
SAF	HNX	2009/06/08	2706000	20400	
SAF	HSX	2006/12/28	2706000	40000	2009/05/29
SAM	HSX	2000/07/28	18000000	17000	
SAP	HNX	2006/12/14	900000	28000	
SAV	HSX	2002/05/09	4500000	25000	
