TICKER	DATES	TIMES	STK_LAST
IDJ	2012/09/13	12:00:00	3400
IDV	2012/09/13	12:00:00	19900
ILC	2012/09/13	12:00:00	0
INC	2012/09/13	12:00:00	0
INN	2012/09/13	12:00:00	0
IVS	2012/09/13	12:00:00	4000
KBT	2012/09/13	12:00:00	0
KHB	2012/09/13	12:00:00	3100
KHL	2012/09/13	12:00:00	3400
KKC	2012/09/13	12:00:00	8400
KLS	2012/09/13	12:00:00	8600
KMT	2012/09/13	12:00:00	5100
KSD	2012/09/13	12:00:00	1700
KST	2012/09/13	12:00:00	0
KTS	2012/09/13	12:00:00	34200
KTT	2012/09/13	12:00:00	0
L14	2012/09/13	12:00:00	8300
L18	2012/09/13	12:00:00	0
L35	2012/09/13	12:00:00	0
L43	2012/09/13	12:00:00	0
L44	2012/09/13	12:00:00	0
L61	2012/09/13	12:00:00	7700
L62	2012/09/13	12:00:00	0
LAS	2012/09/13	12:00:00	29000
LBE	2012/09/13	12:00:00	8600
LCD	2012/09/13	12:00:00	0
LCS	2012/09/13	12:00:00	7400
LDP	2012/09/13	12:00:00	23900
LHC	2012/09/13	12:00:00	24300
LIG	2012/09/13	12:00:00	7600
LM3	2012/09/13	12:00:00	2700
LM7	2012/09/13	12:00:00	0
LO5	2012/09/13	12:00:00	3500
LTC	2012/09/13	12:00:00	3800
LUT	2012/09/13	12:00:00	5800
MAC	2012/09/13	12:00:00	3400
MAX	2012/09/13	12:00:00	6200
MCC	2012/09/13	12:00:00	0
MCF	2012/09/13	12:00:00	10300
MCL	2012/09/13	12:00:00	0
MCO	2012/09/13	12:00:00	0
MDC	2012/09/13	12:00:00	10000
MEC	2012/09/13	12:00:00	4500
MHL	2012/09/13	12:00:00	0
MIC	2012/09/13	12:00:00	11300
MIH	2012/09/13	12:00:00	0
MIM	2012/09/13	12:00:00	0
MKV	2012/09/13	12:00:00	7600
MMC	2012/09/13	12:00:00	0
MNC	2012/09/13	12:00:00	0
NAG	2012/09/13	12:00:00	3300
NBC	2012/09/13	12:00:00	12700
NBP	2012/09/13	12:00:00	14000
NDN	2012/09/13	12:00:00	6400
NET	2012/09/13	12:00:00	39000
NGC	2012/09/13	12:00:00	0
NHA	2012/09/13	12:00:00	4200
NHC	2012/09/13	12:00:00	20000
NIS	2012/09/13	12:00:00	5600
NLC	2012/09/13	12:00:00	12300
NPS	2012/09/13	12:00:00	0
NSN	2012/09/13	12:00:00	2600
NST	2012/09/13	12:00:00	9000
NTP	2012/09/13	12:00:00	32000
NVB	2012/09/13	12:00:00	8000
NVC	2012/09/13	12:00:00	1300
OCH	2012/09/13	12:00:00	17900
ONE	2012/09/13	12:00:00	6500
ORS	2012/09/13	12:00:00	2100
PCG	2012/09/13	12:00:00	0
PCT	2012/09/13	12:00:00	2900
PDC	2012/09/13	12:00:00	3400
PFL	2012/09/13	12:00:00	2700
PGS	2012/09/13	12:00:00	17100
PGT	2012/09/13	12:00:00	3200
