CODE	NAME	PROVIDER	PLACE	TYPE	SUB_TYPE
VNXASFITRJPY	IFRC VNX ALL-SHARE FINANCE TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASFITRUSD	IFRC VNX ALL-SHARE FINANCE TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCPREUR	IFRC VNX ALL-SHARE HEALTHCARE (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCPRJPY	IFRC VNX ALL-SHARE HEALTHCARE (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCPRUSD	IFRC VNX ALL-SHARE HEALTHCARE (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCEPREUR	IFRC VNX ALL-SHARE HEALTHCARE EW (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCEPRJPY	IFRC VNX ALL-SHARE HEALTHCARE EW (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCEPRUSD	IFRC VNX ALL-SHARE HEALTHCARE EW (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCETREUR	IFRC VNX ALL-SHARE HEALTHCARE EW TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCETRJPY	IFRC VNX ALL-SHARE HEALTHCARE EW TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCETRUSD	IFRC VNX ALL-SHARE HEALTHCARE EW TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCTREUR	IFRC VNX ALL-SHARE HEALTHCARE TR (EUR)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCTRJPY	IFRC VNX ALL-SHARE HEALTHCARE TR (JPY)	IFRCRESEARCH	Vietnam	EQUITY	Sector
VNXASHCTRUSD	IFRC VNX ALL-SHARE HEALTHCARE TR (USD)	IFRCRESEARCH	Vietnam	EQUITY	Sector
