name	code_ctr	indcode	year	value	last_upd
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2004	38.2245002202794	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2005	37.4750521224235	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2006	34.4289022815191	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2007	30.6825745193971	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2008	31.1504786441308	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2009	27.3037381931231	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (all income levels)	MEA	AG.CON.FERT.PT.ZS	2010	23.1184678751371	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2002	52.0444585078864	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2003	56.7310400658864	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2004	58.9012938231685	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2005	64.3610658247946	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2006	59.9674104188226	2013/06/24
Fertilizer consumption (% of fertilizer production) - Middle East & North Africa (developing only)	MNA	AG.CON.FERT.PT.ZS	2007	51.5438430505505	2013/06/24
