STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PTL	Petro Capital and Infrastructure Investment	50000000	100	100	2900.000	VND	1	1.00	2900.000	145000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	0.37%						0
PSI	PVN Securities Incorporated	2000000	100	100	3600.000	VND	1	1.00	3600.000	7200000000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	0.02%						0
PFL	Petro Dong Do Joint Stock Company	59841300	100	100	2700.000	VND	1	1.00	2700.000	161571510000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	0.41%						0
PVT	PVN Transportation	232600000	100	100	4300.000	VND	1	1.00	4300.000	1000180000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	2.53%						0
PXI	Petroleum Industrial and Civil Construction	30000000	100	100	4000.000	VND	1	1.00	4000.000	120000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.30%						0
PXM	Mientrung Petroleum Construction	15000000	100	100	3200.000	VND	1	1.00	3200.000	48000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.12%						0
PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400.000	VND	1	1.00	9400.000	352669209400.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.89%						0
PXT	Petroleum Pipeline and Tank Construction	20000000	100	100	4200.000	VND	1	1.00	4200.000	84000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.21%						0
PCT	Cuu Long Petro Gas Service Transportation	23000000	100	100	2900.000	VND	1	1.00	2900.000	66700000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.17%						0
PPS	Petro Vietnam Power Services Joint Stock Company	15000000	100	100	7200.000	VND	1	1.00	7200.000	108000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.27%						0
PVE	PVN Investment Consultancy and Engineering	18000000	100	100	9600.000	VND	1	1.00	9600.000	172800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.44%						0
PVX	PVN Construction	250000000	100	100	5200.000	VND	1	1.00	5200.000	1300000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	3.29%						0
PSP	Dinh Vu Petroleum Service Port	22500000	100	100	5300.000	VND	1	1.00	5300.000	119250000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.30%						0
PTT	Indochina Petroleum Transportation	10000000	100	100	1800.000	VND	1	1.00	1800.000	18000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.05%						0
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800.000	VND	1	1.00	38800.000	1664520000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	4.21%						0
PVD	PVN Drilling & Well Services	209740215	100	100	35000.000	VND	1	1.00	35000.000	7340907525000.00 	2012/09/13	0:00:00	461428473000.00	 2,200.00 	 2,200.00 	VND	PVNINPRVND	18.59%						0
PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100.000	VND	1	1.00	6100.000	115107000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.29%						0
PSG	Saigon Petroleum Constrution And Investment JSC	35000000	100	100	1300.000	VND	1	1.00	1300.000	45500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.12%						0
PVD	PVN Drilling & Well Services	297802094	100	100	35000.000	VND	1	1.00	35000.000	10423073290000.00 	2012/09/13	0:00:00	655164606800.00	 2,200.00 	 2,200.00 	VND	PVNOGPRVND	26.39%						0
PVS	PVN Technical Services	10000000	100	100	15200.000	VND	1	1.00	15200.000	152000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	0.38%						0
PGS	PVN Southern Gas	38000000	100	100	17100.000	VND	1	1.00	17100.000	649800000000.00 	2012/09/13	0:00:00	45600000000.00	 1,200.00 	 1,200.00 	VND	PVNOGPRVND	1.65%						0
PVC	Drilling Mud Corp	27719850	100	100	12700.000	VND	1	1.00	12700.000	352042095000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	0.89%						0
PVG	PVN Northern Gas	256000000	100	100	9300.000	VND	1	1.00	9300.000	2380800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	6.03%						0
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800.000	VND	1	1.00	38800.000	1664520000000.00 	2012/09/13	0:00:00		  	  	VND	PVNUTPRVND	4.21%						0
NT2	PVN Power NhonTrach 2	256000000	100	100	4600.000	VND	1	1.00	4600.000	1177600000000.00 	2012/09/13	0:00:00		  	  	VND	PVNUTPRVND	2.98%						0
PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100.000	VND	1	1.00	6100.000	115107000000.00 	2012/09/13	0:00:00		  	  	VND	PVNUTPRVND	0.29%						0
