tables	DBF	fields	field_dbf	headers	widths	aligns	formats	decimals	orders	edittype	editoption	field_len	example	page
mar_ref	MAR_REF	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
mar_ref	MAR_REF	mar_code	MAR_CODE	CODE	200	L	C	0	2	text		255	HNX	sysformat
mar_ref	MAR_REF	mar_name	MAR_NAME	NAME	200	LB	C	0	3	text		255	Hanoi Stock Exchange	sysformat
mar_ref	MAR_REF	mar_name_vn	MAR_NAME_VN	NAME (VN)	200	LB	C	0	4	text		255	sàn giao dịch Chứng Khoán Hà Nội	sysformat
sec_ref	SEC_REF	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
sec_ref	SEC_REF	sec_name_vn	SEC_NAME_VN	NAME (VN)	300	LB	C	0	2	text		255	PV VẬT LIỆU CƠ BẢN	sysformat
sec_ref	SEC_REF	sec_code	SEC_CODE	CODE	255	L	C	0	1	text		255	PVNBM	sysformat
sec_ref	SEC_REF	sec_name	SEC_NAME	SECTOR	300	L	C	0	3	text		255	PVN Basic Materials	sysformat
sec_ref	SEC_REF	uni_code	UNI_CODE	UNICODE	100	L	C	0	4	text		255	14	sysformat
stk_div	STK_DIV	id	ID	ID	50	R	N	0	0	text		11	1	sysformat
stk_div	STK_DIV	stk_code	STK_CODE	CODE	150	L	C	0	2	text		255	PVE	sysformat
stk_div	STK_DIV	stk_name	STK_NAME	NAME	400	LB	C	0	3	text		255	PVN Investment Consultancy & Engineering	sysformat
stk_div	STK_DIV	stk_divnet	STK_DIVNET	DIVNET	50	R	N	0	4	text		1		sysformat
stk_div	STK_DIV	stk_divgross	STK_DIVGROSS	DIVGROSS	50	R	N	0	5	text		1.5		sysformat
stk_div	STK_DIV	exdate	EXDATE	EXDATE	100	C	C	0	6	text		8	40438	sysformat
stk_feed	STK_FEED	id	ID	ID	50	C	N	0	0	text		11	1	sysformat
stk_feed	STK_FEED	ticker	TICKER	TICKER	50	C	C	0	1	text		255	AAM	sysformat
stk_feed	STK_FEED	dates	DATES	DATE	80	C	C	0	2	text		255	  2012/09/13	sysformat
stk_feed	STK_FEED	times	TIMES	TIME	70	C	C	0	3	text		255	12:00:00	sysformat
stk_feed	STK_FEED	stk_last	STK_LAST	STK LAST	100	R	N	0	4	text		16	26100	sysformat
